UCL_CODE_2021,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
UCL915001,0,0,0,21,0,0,0,6,0,26,0,4,3,6,0,0,8,0,0,25,12,22,32,28,17,3,5,15,3,133,16,24,25,25,27,0,13,14,0,144,26,30,28,19,15,3,13,15,7,150,29,8,23,3,15,4,9,17,3,120,6,6,16,4,0,0,13,14,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,91,124,108,82,10,71,90,18,686
UCL921001,0,0,9,20,0,12,0,13,0,51,0,10,11,16,7,5,0,6,0,54,3,12,21,21,12,9,3,8,0,99,31,17,28,20,28,15,8,10,9,160,29,19,35,23,29,15,5,22,0,182,58,35,51,23,35,20,11,18,5,254,15,15,14,7,19,21,8,15,6,112,6,4,0,8,4,6,0,4,0,29,0,0,0,0,0,0,0,0,0,0,146,111,171,138,125,95,36,92,19,939
UCL922001,0,0,0,0,0,0,0,0,0,4,0,0,4,3,3,4,0,8,0,26,4,3,7,9,3,4,4,4,0,31,5,9,4,6,5,3,3,14,0,40,4,5,0,0,3,0,0,0,0,15,0,5,11,6,3,0,0,11,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,22,27,25,17,8,8,32,0,152
UCL922002,3,0,5,0,0,0,0,0,0,5,6,4,0,0,0,0,0,0,0,12,0,9,0,0,0,0,0,0,0,12,8,4,0,4,5,0,0,0,0,10,4,5,0,3,0,0,0,0,0,13,4,5,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,18,0,7,3,0,0,0,0,62
UCL922003,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,3,0,14,5,3,0,5,0,0,0,0,0,18,5,5,3,0,4,0,0,0,0,23,3,5,5,3,3,0,0,0,0,26,3,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,18,15,14,9,0,0,6,0,89
UCL931001,0,0,6,6,0,0,4,0,0,15,0,4,0,4,4,0,0,6,0,19,7,7,8,4,8,0,0,6,0,44,7,10,3,8,5,0,3,7,5,50,21,14,8,8,10,5,7,8,0,81,7,5,9,4,10,12,4,5,3,64,0,4,9,5,0,0,3,9,0,35,4,0,3,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,3,50,39,53,38,42,20,21,42,10,329
UCL979997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL999994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3
